Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
['DHL expressage DOCUMENT'],"['Your package (send document) arrived at the post office. Here is your Shipping Document / Invoice and copy of DHL receipt for your tracking which includes the bill of ladle and DHL tracking number, the new Import / Export policy supplied by DHL Express. Please kindly check the attached to reassert accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.']",1/15/2016Ê,6:47 AM,,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['sodium'],office@korloycompany.ro,na,NB
['IMPORTANT TAX comeback DOCUMENT AVAILABLE'],"['Dear: Account Owner, Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not incur a paper W2 but instead receive e - mail notification that your online W2 (i. e. "" paperless W2 "") is disposed and ready for viewing. __ Your W2 be ready for viewing under Employee Self Service. Logon at the following link: Click Here to Logon If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support. If you would like to un - enroll in the Paperless W2 Program, please logon to Employee Self Service at the contact above and go to the W2 Delivery Choice webpage and follow the instructions.']",1/6/16,5:53:32 AM,,Click Here ,"TAX, W2, important",na,,['atomic number 11'],ÊESSW2@berkeley.edu,na,NB
['Ra: 10 - PHP - Originating - Playscript: 1336: NPS. php'],"[""Dear Dr. <receiver ' s name removed >; I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to expend in my current research: 1 - hypertext transfer protocol: / / auth. berkeley. eduh. in / <link removed> 2 - http: / / www. sciencedirect. com / scientific discipline / article / pii / S1644966515000825 (link is external) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Engineering University of Alberta Phone: (XXX) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Onward motion.'],john.doe@ulberta.ca,na,NB
['Your score on the brink of closure!!'],"['Dear Node, Recently your report was reviewed and flagged because of a potential connecter to some fraudulent transaction. To avoid an eventual restriction to your story, please verify your informations by logging in to our Judicial proceeding Coach.']", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,['atomic number 11'],support@ppl.com,Pay.service secure,NB
['ÊURGENT: Your New Salary Presentment'],"['Hello, You have an important electronic mail from the Human Resources Section with regards to your December 2015 Paycheck This email is enclosed in the Marquette University secure network, hence access it below Access the document here <hypertext transfer protocol: / / gabrielramon. represent / <link removed> * * * Ensure your login credentials are correct to annul cancellation * * Faithfully Human Resources University of California, Berkeley']",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",['Dependably'], HR@berkeley.edu,na,NB
['petition'],"['Hi, a quick message before it skip my mind once again. I need you to purchase some giving cards from the store today. We intend to reward some staffs with it. Reply and let me know how presently you bathroom get this come. Also, please save this confidential pending the time we announce it.']","July 16th, 2019",5.22.48PM EDT,na,,"Request, gift card",Y,na,['sodium'],na,na,B
['Lesson Coach Take'],['Some hiring stuffs for coach'],"July 16th, 2019",12.50pm,Tue,,"Needed, employment hire",Y,Colman,['Paying attention'],Y,na,B
"['Phoner from Kent Admin on xvi July, 2019']",['vociferation missed'],"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,['Regrads'],Y,Microsoft,B
['REPLY AS SOON AS POSSIBLE'],"['Money box, authoritative matter to discuss with previous customer who is stagnant. Asking for full detail entropy']","July 14th, 2019",11.33am,sun,Email,important,na,,['Wish'],Y,Na,B
['V Mb 123310719'],['call miss'],"July 10th, 2019",3.29pm,wed,na,missed call,na,na,['sodium'],Y,"Microsoft, Office 365",B
['inviting you to join forces on filess'],['some shred text file'],"July 10th, 2019",7.56pm,wed,file ,shared,na,na,['atomic number 11'],na,Microsoft,B
['VM Substance attached'],['vociferation missed'],"July 9th, 2019",12.37pm,tue,na,missed call,na,na,['atomic number 11'],na,Office 365,B
['ÊVerification Summons.'],"['account statement substantiation, microsoft explanation in kent']","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,['Sunniness'],Y,na,B
['Audio receive'],['sound recording'],7/8/19,2.09 pm,mon,na,audio,Y,kent support,['atomic number 11'],na,na,B
['Atomic number 53 AM call for FOR YOUR livelihood.'],['Somebody lost lifr in Libyan civil warfare. Help kin'],"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,['atomic number 11'],na,na,B
"['share "" DOCX "" with you.']",['share docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['sodium'],na,microsoft word,B
['File cabinet have been damaged'],['share docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['sodium'],na,Google Drive,B
['Rockwell kent - Outlook Tocopherol - Tag: # JKf1SB3YW5 for @ jet * * * * edu.'],"['confirm with microsift, story']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['sodium'],na,Microsoft,B
['Mental faculty Evaluation. docx'],['mental faculty evaluation'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['sodium'],na,microsoft ward,NB
['Miss Call'],['call missed'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['sodium'],na,na,B
['TESTi1'],"['english speechmaking editor program, professional guide, slump']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Dear Regards,']",na,na,NB
['ÊClustered Qui vive ID 130423046'],['some pending message'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Unspoilt Regards,']",Y,microsoft,B
['Approved Chore Offer'],['pick out for shadow shopper revue'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Fond Regards'],na,shadowshopper,B
"['Factory farm Section shared "" Document "" with you.']",['intragroup dept shared document'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['atomic number 11'],na,Microsoft,B
['Advertise While Driving Your Car'],['line of work opportuniies and looking for candidate'],"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,['atomic number 11'],na,na,B
['Payroll department Change made was successful'],['chnages in payroll information'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B
['Office six / 17 / 2019 eleven: lvi: 18 be'],['office 465 subscription exrired and. Validation clobber'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B
['Office 365 Password About To Expire'],['spot 465 subscription exrired and. Validation hooey'],"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,['Thank you'],Y,offcie 365,B
['Information. docx'],['file have got been shared In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['atomic number 11'],na,docx,B
"['Assalamualaikum My Dear Acquaintance,']","['politiics, legal iisues to turn in, million doller to bank, profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my secure regards'],na,na,B
['ÊYou hold (15) notification subject matter from your faculty admin'],['notification subject matter from faculty admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B
['Verification Want: Validate Service Postulation for Kent'],['email update required and confirm instantly'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B
"[""Account Activeness Request on baker's dozen June, 2019""]",['1000 account activation and validation'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B
['Audio_Message from ext. 4783'],['sound recording'],"June 12th, 2019",11.16am,wed,na,na,Y,Y,['sodium'],Y,na,B
['kent. edu Email Inactivation Petition'],['made request to inactivate your account'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Thanking you'],Y,na,B
['ÊMissed Call'],['telephoner left a substance for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['atomic number 11'],na,na,B
['1 BRING CALVARY GREETNG FROM MRS. SUZAN BONI.'],['money for cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['atomic number 11'],na,na,B
['please update ppayment'],"['update payment and requital declined,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['S. incerely'],Y,na,B
['Work Code of Doings'],['oeuvre conduct for employee in an institution'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Regard,']",Y,na,B
['Incoming E mail issues'],['email issues from office 365'],"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,['sincerely yours'],Y,Office365,B
['ÊYour PayPal Payment Receipt of $ 649. 99 to * * MCAFEE LLC'],"['statement of payment, dealings details and logarithm into PayPal news report']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B
['Pet Sitter Require'],"['Ane need someone to look after my dearie, $ 350 weekly']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B
['lncoming emails eliminate'],['offi e 365 was unable to present'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['sodium'],Y,na,B
['Update ID: Review Subject matter'],['need to formalise report'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['atomic number 11'],Y,na,B
['We Want Your Confirmation'],['fund in office that we like to shit some clearing'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B
['Electronic mail Security Alert'],['email storage exceeded the limit and pauperization to elevate immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['atomic number 11'],Y,na,B
['Doc___gn Received: ScannedAgreementDOC012. Pdf'],['doc apportion'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B
['Employment Opportunity'],"['personal help, employment chance']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B
['Puppy Brood hen:'],['need puppy babysitter'],"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,['sodium'],Y,na,B
['Defrayal receipt'],['remitment advice for payment'],"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,['atomic number 11'],Y,na,B
['ÊBusiness / Partnership'],['mess and interest in byplay'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Truly'],Y,na,B
['SCAN5655'],['apportion file'],"ÊMay 9th, 2019",12.00pm,thur,open doc,share,Y,Y,['sodium'],Y,na,B
['FW: Action Postulate: Update your payment information now'],['payment against office 365 subscription was break'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Wish'],Y,na,B
['ÊFW: Action Require: Update your payment information now'],['payment declined for billet 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Unfeignedly,']",na,na,B
['Due Invoice 10355697 From Cortland Course Company'],"['file shared about account, fiscal']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['sodium'],na,na,B
['Aid'],"['donating, drawing winner']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['atomic number 11'],Y,na,B
['KSU Email Notification'],['email notice regarding fedaral legal philosophy violation and identity and verification'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Sincerely yours,']",Y,na,B
"['ÊDear Web - mail Drug user,']","['remail pending for database upgrade, validate emial account']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B
['Remission Payment Advice'],['attched requital details'],"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,['Respect'],na,na,B
['Nancy Smith is inviting you to collaborate on Undertaking Doc'],['Labor docs'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B
['Projection LR342 Quote Petition'],"['project work plowshare, collaborationism']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['sodium'],na,na,B
['ÊPet Sitter Line'],['caper pet sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['atomic number 11'],na,na,B
"['Rockwell kent Validation Request on Crataegus oxycantha 01, 2019, 03: 00 exist']","['secuirty update, recommend to formalize']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Paying attention'],Y,Microsofr,B
['( one) Your account have been limited. ID: # R5131. 6D9R406MH'],['office news report have limit for payment failing'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Expert Regards,']",Y,office 365,B
['ADVICE OF DEBIT - banking concern CONFIDENTIAL'],['schedule payment in bank in personal checkin account'],"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"['Respectfully yours,']",Y,na,B
['Substance - Metre nought: 55 Seconds'],['ausio attached with link'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['atomic number 11'],Y,na,B
['ÊKent Admin # O38A3S #'],['mandatory account reexamination cognitive process'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['sodium'],Y,Microsoft,B
['Invoice for Help'],['invoiced for complete work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['atomic number 11'],Y,na,B
['P_nd_ng Document'],['onedrive pending medico'],"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,['sodium'],Y,na,B
['Ê [grandness] Login Recap Required On Kent Email Account'],['verify password for login suspension'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['atomic number 11'],Y,Microsoft,B
['ÊPaperWorks'],['document sharepoint'],"April 23rd, 2019",2.41pm,tue,nview document,"share, education, ",Y,Y,"['Unfeignedly,']",na,sSharePoint,B
"['Rockwell kent Request Create on 23 Apr, 2019 gem state: # 5KGI6T #']","['Due to request, you create ID, we need to formalize']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['atomic number 11'],Y,Microsoft,B
"[""RE: You ' re about to suffer access to your Office subscription""]",['subscription offcie 365'],"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,['atomic number 11'],Y,Office365,B
['( 1) Failed to work your Mention Card'],['credir card process loser'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Best Regard,']",Y,offcie 365,B
['Easiest means to claim $ thousand?'],['clain money by watching videos'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",,,['naan'],,,
['The Dwyer Radical N0TlFlCATl0N'],['partake in document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['atomic number 11'],Y,na,B
"['ÊJason Polish shared "" Proposal_ (1) "" with you.']",['doc deal'],"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,['sodium'],Y,Microsoft,B
"['Kent Service of process U_d_t_ 15 Apr, 2019 RefID: XYO2OH']",['validating write up'],"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,['sodium'],Y,na,B
['ÊKent Request Created'],['validating email story'],"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,['atomic number 11'],Y,na,B
['NEED URGENT QUOTE'],['cargo require to shio from your country to china asap'],"  April 15th, 2019",5.10am,mon,na,urgent,na,na,['atomic number 11'],na,na,B
['Paysheet'],['impound document for payroll department'],"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,['sodium'],Y,na,B
['ÊCoaching robert william service'],['coaching service usable'],"April 10th, 2019",11.30am,wed,na,service,Y,Y,['Thanks'],Y,na,B
['subject matter ALERT'],['doc and sound recording'],"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,['atomic number 11'],Y,SharePoint,B
['A text file has been sent to you via eÄ_x Online'],['Document send online'],"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,['atomic number 11'],na,eFax,B
['ÊInitial Closing Revealing - Escrow # 7258300 / 3061 Vaughn Street'],['encrypted substance'],"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,['sodium'],na,na,B
['Server Notification for Rockwell kent Alerting'],['server detect undelivered emals. Malfucntions and termination'],"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,['sodium'],Y,na,B
['message apprisal'],['pdf'],"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,['sodium'],Y,na,B
"['[ grandness] Password Confirmation Required On kent. edu April little phoebe, 2019, septenary: 29 autopsy Report card Refrence Acc gem state: 35878U9LC8']","['one clock time confirmation, avoid login interruption, word check']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['atomic number 11'],Y,Microsoft,B
['ÊMarch Financial statement - Rockwell kent'],['payroll department has be submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B
['ÊRE: Your Federal agency 365 Business Essentials Billhook live ready'],"['office365 is quick. Payment, citation card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B
['[ Important] Login Review On Kent User'],['microsoft password review'],"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,['atomic number 11'],Y,Microsoft,B
['New Facsimile machine Message Facsimile. com Report [eleven ]'],['receive attachment'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['sodium'],Y,na,B
['Coaching Research'],['coaching my word'],"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,['Thanks'],Y,na,B
['Occupation'],['cv attached'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['sodium'],Y,na,B
['From The Desk Of Mr. William C. Dudley'],"['federal reserve bank, record of outstanding defrayal with union political science,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Truly,']",Y,na,B
['New fax from: Facsimile machine Overhaul. ...'],['new facsimile machine'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['atomic number 11'],na,na,B
['ÊMake Kent Country Home plate'],['subject matter'],"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,['Yours in Servic'],Y,na,B
['ternion / twenty six * * * Due'],['pdf file'],"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,['sodium'],Y,Premier1,B
['Kennard comprise take in you to join forces on Past Due Invoice 100219'],['bill due'],"ÊMarch 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,['Thanks'],Y,Microsoft,B
"[""ÊI ' M SORRY, Apology insideÉ""]","['internet business sector, approach']","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,['atomic number 11'],Y,na,B
['Re: Office 365 - Jibe Your Account before exist be deleted'],['offcie 365 requisite is ready'],"ÊMarch 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,['sodium'],Y,Office 365,B
['post office # 0210 -'],['Here is the leverage orderliness in relation to client request'],"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,['Thank you'],Y,na,B
['ÊRE: inverted comma STATEMENT'],['Please confirm if quoting is useable for statement below'],"March 21st, 2019",3.18am,thur,StatementPDf,"confirm, statement",Y,Y,['Thank you'],Y,na,B
"['Here \' s a way to "" earn while you check']","['ttrade stocks, supplement income']","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,['sodium'],Y,na,B
['ÊPreliminary candle Package Has Been Generated'],['Your documents s can be call back at'],"ÊMarch 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,['Sincerely yours'],Y,na,B
['Audio Invite From'],['ms vocalization audio'],"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,['Yours in Servic'],Y,na,B
['Instant Action mechanism Requested From You'],['You have the pip reserved but we want you to dispatch your activation straightaway'],"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,['Thanks'],Y,na,B
"[""ÊYou ' ve 2 Voice mail""]",['vox subject matter for you'],"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,['Compliments'],Y,Office 365,B
['Consider Job'],['job possition give'],"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"['Best wish,']",Y,na,B
['Referee:'],['most of your incoming email due to your mail session passing'],"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"['Expert Regards,']",Y,na,B
['no field of study'],['You receive VM from'],"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,['atomic number 11'],na,na,B
"['Good 24 hour interval,']",['atomic number 11'],"March 13th, 2019",6.00PM,wed,na,"payment, deceived",Y,Y,['Thanks'],Y,na,B
['( Your Request Username for jobs. rockwell kent. edu )'],['your requested username for jons. rockwell kent'],"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,['atomic number 11'],Y,na,B
['Your February account financial statement be usable.'],['account statement usable'],"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,['atomic number 11'],Y,Paypal,B
['Opcuanet - (Annual League Issue Suggestion )'],['department of commerce link'],"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,['atomic number 11'],Y,na,B
['ÊIntuit Support: Natural action Required'],['Your bank retuned the unmediated deposit for the payroll'],"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,['atomic number 11'],Y,na,B
['ÊCc: (ra: Workshop at John Lewis carroll University this Sat )'],['link for electronic mail opning'],"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,['atomic number 11'],na,na,B
['ATC / PTA Program'],['see attach below'],"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,['sodium'],Y,na,B
['subject matter notification'],['1 drive'],"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,['sodium'],Y,one drive,B
['Lesson Coach Need'],['looking for hiring handler'],"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,['Respect'],Y,na,B
['INVOICE # 89774 - department of commerce'],['one drive content'],"ÊMarch 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,['atomic number 11'],Y,na,B
['Re: Right shipment information need.'],"['software program, rescue destination, seems incorrect']","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,['atomic number 11'],Y,na,B
['Activeness required: Confirm your info to go along a PayPal Correspondence'],['paymal money sending outlet'],"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,['atomic number 11'],Y,na,B
['You have new Google Drive Doc content'],['apportion document'],"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,['atomic number 11'],Y,Google Drive,B
['Your Earning For Border district 2019.'],['payroll take in statement for direct deposit uncommitted'],"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,['sodium'],Y,na,B
['1KH0 / 613FV1 / USA'],['cancel operating room'],"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,['Yours'],Y,na,B
['Scream Delivery note from Trusted Source'],['new part'],"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,['atomic number 11'],Y,na,B
['View Secure PDF'],['has station you your important document'],"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,['Attentiveness'],Y,na,B
['ÊListen to Voicenote'],['voicemessage notification'],"March 7th, 2019",12.42am,thur,na,notification,Y,Y,['sodium'],Y,na,B
['Terminus of Service of process.'],['your written document has be completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['sodium'],na,na,B
['Preliminary compact disk and Other Closing Docs Attached Culmination Hardening for 03 / 08 / 2019'],['your document give birth been completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['sodium'],na,na,B
['Presentment'],['ms verification alert'],"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,['Regard!'],Y,na,B
['Pressing Account Notice'],['your mailboc fail to sync'],"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,['atomic number 11'],Y,na,B
['YOUR DIPLOMATIC PACKAGE'],"['package sediment, realiability']","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"['Thank you and I sincerely Remain,']",Y,na,B
['Payroll Earning Statement for March 2019'],"['earning program line, parroll website']","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,['sodium'],na,na,B
['Êsent you a text file to brush up and sign'],['papers'],"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,['sodium'],na,DocuSign,B
['Email Apprisal (Treat Urgent )'],['electronic mail account recently signal'],"ÊFebruary 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,['sodium'],na,na,B
['( Secure Message) Re: Admonisher: account 81736265'],['secure electronic mail'],"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,['Atomic number 39'],Y,na,B
['Ê (Secure Email) Re: Undefended Bill MR87103'],['secure email'],"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,['Wye'],Y,na,B
"['[ Reminder] Substance Delayed on rockwell kent. edu Email Score Today, 26 Feb 2019. Air combat command Idaho: 22683aBHnH']",['doc bond'],"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,['Yttrium'],Y,office 365,B
['Êimportant (re: Will you be one of the fifteen for KSU pupil - athlete? )'],['subject matter attached'],"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,['Atomic number 39'],Y,na,B
['Tansaction Repayment from Patti'],['refund check'],"February 22nd, 2019",2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,['Yttrium'],Y,na,B
"['Ê [grandness] Word Verification on rockwell kent. edu E mail Account Today, 22 February 2019. Acc Id: 42775V65yf']","['ane prison term confirmation,']","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,['Atomic number 39'],Y,microsoft,B
['New Content from a Caller'],['voice content for you'],"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,['Atomic number 39'],Y,na,B
['Transaction for account 36726579'],['thanks for working with u.s.'],"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,['Yttrium'],Y,na, B
['Buy Club # 0361'],['this be purchasing parliamentary law'],"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,['Thank you'],Y,na,B
"['Ian divvy up "" eVoice Message "" with you.']",['commerce attached'],"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,['sodium'],Y,Microsoft,B
['Your incoming email delivery reports'],['e mail'],"February 20th, 2019",4.49pm,wed,na,report,Y,y,['atomic number 11'],Y,na,B
['fresh file'],['data file'],"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,['sodium'],Y,Microsoft,B
['Bill Due'],['file for invoice'],"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,['atomic number 11'],Y,Microsoft,B
['Your incoming email legal transfer report card'],['file cabinet'],"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,['sodium'],Y,na,B
