Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['Information. docx'],['file has be portion out In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['sodium'],na,docx,B,information docx file has be portion out in docx
"['Assalamualaikum My Love Friend,']","['politiics, legal iisues to go to sleep, million doller to money box, profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my well regards'],na,na,B,assalamualaikum my love friend politiics legal iisues to go to sleep million doller to money box profit
['ÊYou have (fifteen) apprisal subject matter from your staff admin'],['notification content from faculty admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B,you have fifteen apprisal subject matter from your staff admin notification content from faculty admin
['Verification Required: Validate Table service Request for Rockwell kent'],['email update required and confirm now'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B,verification required validate table service request for rockwell kent email update required and confirm now
"['Account Activeness Request on 13 June, 2019']",['ms account energizing and establishment'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B,account activeness request on  june  ms account energizing and establishment
['rockwell kent. edu Email Defusing Request'],['made request to deactivate your account'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Thank you'],Y,na,B,rockwell kent edu email defusing request made request to deactivate your account
['ÊMissed Claim'],['caller left a subject matter for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['atomic number 11'],na,na,B,missed claim caller left a subject matter for you
['Iodin BRING CALVARY GREETNG FROM MRS. SUZAN BONI.'],['money for cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['atomic number 11'],na,na,B,iodin bring calvary greetng from mrs suzan boni money for cancer diagnosied
['please update ppayment'],"['update payment and defrayal declined,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['Sulphur. incerely'],Y,na,B,please update ppayment update payment and defrayal declined
['Piece of work Code of Conduct'],['workplace conduct for employee in an institution'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Regard,']",Y,na,B,piece of work code of conduct workplace conduct for employee in an institution
['ÊYour PayPal Payment Receipt of $ 649. ninety nine to * * MCAFEE LLC'],"['argument of payment, transaction details and logarithm into PayPal explanation']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B,your paypal payment receipt of   ninety nine to   mcafee llc argument of payment transaction details and logarithm into paypal explanation
['Darling Sitter Needed'],"['I necessitate individual to face after my pet, $ 350 weekly']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B,darling sitter needed i necessitate individual to face after my pet   weekly
['lncoming electronic mail rejected'],['offi e 365 was ineffective to deliver'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['sodium'],Y,na,B,lncoming electronic mail rejected offi e  was ineffective to deliver
['Update idaho: Review Content'],['demand to validate explanation'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['sodium'],Y,na,B,update idaho review content demand to validate explanation
['We Need Your Substantiation'],['fund in place that we like to make some elucidation'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B,we need your substantiation fund in place that we like to make some elucidation
['E mail Security Alert'],['email storage go past the demarcation and pauperism to upgrade immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['sodium'],Y,na,B,e mail security alert email storage go past the demarcation and pauperism to upgrade immidiately
['Doc___gn Received: ScannedAgreementDOC012. Pdf'],['doc portion out'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B,docgn received scannedagreementdoc pdf doc portion out
['Employment Chance'],"['personal help, employment chance']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B,employment chance personal help employment chance
['Puppy Broody:'],['penury puppy sitter'],"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,['atomic number 11'],Y,na,B,puppy broody penury puppy sitter
['Defrayment receipt'],['remittal advice for requital'],"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,['sodium'],Y,na,B,defrayment receipt remittal advice for requital
['ÊBusiness / Partnership'],['deal and interest in occupation'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Sincerely yours'],Y,na,B,business  partnership deal and interest in occupation
['FW: Action Required: Update your requital information now'],['defrayal against position 365 subscription was miscarry'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Regard'],Y,na,B,fw action required update your requital information now defrayal against position  subscription was miscarry
['ÊFW: Action Required: Update your payment information instantly'],['defrayment declined for power 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Unfeignedly,']",na,na,B,fw action required update your payment information instantly defrayment declined for power 
['Due Account 10355697 From Cortland Line Company'],"['file cabinet shared about account, financial']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['atomic number 11'],na,na,B,due account  from cortland line company file cabinet shared about account financial
['Service'],"['donating, drawing winner']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['sodium'],Y,na,B,service donating drawing winner
['KSU Electronic mail Notification'],['email notification regarding fedaral law violation and identity and substantiation'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Unfeignedly,']",Y,na,B,ksu electronic mail notification email notification regarding fedaral law violation and identity and substantiation
"['ÊDear Web - chain mail Exploiter,']","['remail pending for database upgrade, formalize emial account']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B,dear web  chain mail exploiter remail pending for database upgrade formalize emial account
['Remittance Defrayment Advice'],['attched requital details'],"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,['Regard'],na,na,B,remittance defrayment advice attched requital details
['Nancy Smith is receive you to collaborate on Project Docs'],['Undertaking docs'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B,nancy smith is receive you to collaborate on project docs undertaking docs
['Labor LR342 Citation Request'],"['projection work part, collaboration']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['atomic number 11'],na,na,B,labor lr citation request projection work part collaboration
"[""ÊPet Artist's model Job""]",['job pet willem de sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['sodium'],na,na,B,pet artists model job job pet willem de sitter
"['Kent Validation Petition on English hawthorn 01, 2019, 03: 00 AM']","['secuirty update, advocate to validate']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Regard'],Y,Microsofr,B,kent validation petition on english hawthorn     am secuirty update advocate to validate
['( 1) Your story has be confine. ID: # R5131. 6D9R406MH'],['agency story has limited for defrayment failing'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Good Regards,']",Y,office 365,B,  your story has be confine id  r drmh agency story has limited for defrayment failing
['ADVICE OF DEBIT - BANK CONFIDENTIAL'],['schedule payment in bank in personal checkin account'],"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"['Respectfully yours,']",Y,na,B,advice of debit  bank confidential schedule payment in bank in personal checkin account
['Message - Fourth dimension zero: fifty five Seconds'],['ausio attach with link'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['atomic number 11'],Y,na,B,message  fourth dimension zero fifty five seconds ausio attach with link
['ÊKent Admin # O38A3S #'],['mandatory invoice review physical process'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['atomic number 11'],Y,Microsoft,B,kent admin  oas  mandatory invoice review physical process
['Invoice for Divine service'],['invoice for completed work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['sodium'],Y,na,B,invoice for divine service invoice for completed work
['P_nd_ng Text file'],['onedrive pending doctor'],"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,['sodium'],Y,na,B,pndng text file onedrive pending doctor
['Ê [IMPORTANCE] Login Review Required On Kent Email Business relationship'],['verify watchword for login gap'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['sodium'],Y,Microsoft,B, importance login review required on kent email business relationship verify watchword for login gap
"['Kent Postulation Created on twenty three Apr, 2019 ID: # 5KGI6T #']","['Imputable to request, you create idaho, we need to validate']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['sodium'],Y,Microsoft,B,kent postulation created on twenty three apr  id  kgit  imputable to request you create idaho we need to validate
"[""RE: You ' re about to lose access to your Post subscription""]",['subscription offcie 365'],"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,['sodium'],Y,Office365,B,re you  re about to lose access to your post subscription subscription offcie 
['( 1) Failed to treat your Credit entry Card'],['credir card process unsuccessful person'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Best Regard,']",Y,offcie 365,B,  failed to treat your credit entry card credir card process unsuccessful person
['Easiest means to claim $ k?'],['clain money by see picture'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",Unknown,Unknown,['gran'],Unknown,Unknown,Unknown,easiest means to claim  k clain money by see picture
['The Dwyer Radical N0TlFlCATl0N'],['shared written document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['sodium'],Y,na,B,the dwyer radical ntlflcatln shared written document
"['ÊJason Shoot down shared "" Proposal_ (one) "" with you.']",['doc deal'],"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,['sodium'],Y,Microsoft,B,jason shoot down shared  proposal one  with you doc deal
"['Kent Service U_d_t_ fifteen April, 2019 RefID: XYO2OH']",['validating report'],"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,['sodium'],Y,na,B,kent service udt fifteen april  refid xyooh validating report
['ÊKent Request Created'],['validating electronic mail account'],"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,['sodium'],Y,na,B,kent request created validating electronic mail account
['demand URGENT QUOTE'],['cargo need to shio from your country to china asap'],"  April 15th, 2019",5.10am,mon,na,urgent,na,na,['atomic number 11'],na,na,B,demand urgent quote cargo need to shio from your country to china asap
['Paysheet'],['attached document for paysheet'],"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,['sodium'],Y,na,B,paysheet attached document for paysheet
['ÊCoaching divine service'],['train service available'],"April 10th, 2019",11.30am,wed,na,service,Y,Y,['Thanks'],Y,na,B,coaching divine service train service available
['subject matter ALERT'],['md and audio'],"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,['sodium'],Y,SharePoint,B,subject matter alert md and audio
['A document has been sent to you via eÄ_x Online'],['Papers sent online'],"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,['sodium'],na,eFax,B,a document has been sent to you via ex online papers sent online
['ÊInitial Closing Revelation - Escrow # 7258300 / 3061 Vaughn Street'],['write in code message'],"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,['atomic number 11'],na,na,B,initial closing revelation  escrow     vaughn street write in code message
['Server Apprisal for Kent Alerting'],['server detect undelivered emals. Malfucntions and ending'],"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,['sodium'],Y,na,B,server apprisal for kent alerting server detect undelivered emals malfucntions and ending
"['[ grandness] Parole Confirmation Required On rockwell kent. edu Apr 5, 2019, 7: twenty nine PM Report Refrence Acc ID: 35878U9LC8']","['i time confirmation, avoid login intermission, password confirmation']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['sodium'],Y,Microsoft,B, grandness parole confirmation required on rockwell kent edu apr    twenty nine pm report refrence acc id ulc i time confirmation avoid login intermission password confirmation
['ÊMarch Statement - Rockwell kent'],['paysheet induce been submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B,march statement  rockwell kent paysheet induce been submitteed
['ÊRE: Your Billet 365 Business Necessity Billhook is ready'],"['office365 is ready. Requital, credit circuit card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B,re your billet  business necessity billhook is ready office is ready requital credit circuit card
['New Facsimile Message Fax. com Reputation [11 ]'],['find affixation'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['sodium'],Y,na,B,new facsimile message fax com reputation   find affixation
['Coaching Enquiry'],['coaching my logos'],"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,['Thanks'],Y,na,B,coaching enquiry coaching my logos
['Chore'],['resume bind'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['sodium'],Y,na,B,chore resume bind
['From The Desk Of Mr. William C. Dudley'],"['union substitute bank, record of outstanding payment with union government,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Truly,']",Y,na,B,from the desk of mr william c dudley union substitute bank record of outstanding payment with union government
['New facsimile machine from: Fax Serve. ...'],['new facsimile machine'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['atomic number 11'],na,na,B,new facsimile machine from fax serve  new facsimile machine
['ÊMake Kent State Nursing home'],['subject matter'],"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,['Yours in Servic'],Y,na,B,make kent state nursing home subject matter
['triad / xxvi * * * Due'],['pdf single file'],"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,['atomic number 11'],Y,Premier1,B,triad  xxvi    due pdf single file
['Kennard is inviting you to get together on Past tense Due Account 100219'],['invoice ascribable'],"ÊMarch 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,['Thanks'],Y,Microsoft,B,kennard is inviting you to get together on past tense due account  invoice ascribable
"[""ÊI ' M SORRY, Apology insideÉ""]","['cyberspace commercial enterprise, access']","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,['atomic number 11'],Y,na,B,i  m sorry apology inside cyberspace commercial enterprise access
['Rhenium: Government agency 365 - Check Your Account before is constitute delete'],['offcie 365 essentials be ready'],"ÊMarch 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,['atomic number 11'],Y,Office 365,B,rhenium government agency   check your account before is constitute delete offcie  essentials be ready
['po river # 0210 -'],['Here constitute the purchase order in carnal knowledge to client petition'],"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,['Thank you'],Y,na,B,po river    here constitute the purchase order in carnal knowledge to client petition
['ÊRE: quotation affirmation'],['Please confirm if quoting is available for statement below'],"March 21st, 2019",3.18am,thur,StatementPDf,"confirm, statement",Y,Y,['Thank you'],Y,na,B,re quotation affirmation please confirm if quoting is available for statement below
"['Hither \' s a mode to "" earn while you learn']","['ttrade stocks, supplement income']","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,['atomic number 11'],Y,na,B,hither  s a mode to  earn while you learn ttrade stocks supplement income
['ÊPreliminary CD Package Has Been Generated'],['Your documents s can live recollect at'],"ÊMarch 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,['Truly'],Y,na,B,preliminary cd package has been generated your documents s can live recollect at
['Audio Received From'],['ms voice sound recording'],"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,['Yours in Servic'],Y,na,B,audio received from ms voice sound recording
['Instant Action Requested From You'],['You have the spot reserved only we need you to finish your activation now'],"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,['Thanks'],Y,na,B,instant action requested from you you have the spot reserved only we need you to finish your activation now
"[""ÊYou ' ve ii Voice mail""]",['voice content for you'],"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,['Heed'],Y,Office 365,B,you  ve ii voice mail voice content for you
['Consider Job'],['book of job possition apply'],"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"['Well regards,']",Y,na,B,consider job book of job possition apply
['Referee:'],['most of your incoming email referable to your mail session departure'],"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"['Best Regard,']",Y,na,B,referee most of your incoming email referable to your mail session departure
['no case'],['You have VM from'],"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,['atomic number 11'],na,na,B,no case you have vm from
['( Your Quest Username for jobs. kent. edu )'],['your requested username for jons. kent'],"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,['sodium'],Y,na,B, your quest username for jobs kent edu  your requested username for jons kent
['Your Feb account statement is useable.'],['account statement usable'],"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,['sodium'],Y,Paypal,B,your feb account statement is useable account statement usable
['Opcuanet - (One year Conference Topic Hypnotism )'],['physician link'],"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,['sodium'],Y,na,B,opcuanet  one year conference topic hypnotism  physician link
['ÊIntuit Financial backing: Action Required'],['Your savings bank retuned the direct deposit for the paysheet'],"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,['atomic number 11'],Y,na,B,intuit financial backing action required your savings bank retuned the direct deposit for the paysheet
['ÊCc: (ra: Workshop at Bathroom Carroll University this Saturday )'],['link for email opning'],"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,['atomic number 11'],na,na,B,cc ra workshop at bathroom carroll university this saturday  link for email opning
['ATC / PTA Political platform'],['see attach below'],"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,['sodium'],Y,na,B,atc  pta political platform see attach below
['subject matter notification'],['one and only drive'],"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,['sodium'],Y,one drive,B,subject matter notification one and only drive
['Lesson Coach Take'],['looking for hire motorbus'],"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,['Respect'],Y,na,B,lesson coach take looking for hire motorbus
['INVOICE # 89774 - physician'],['one ride message'],"ÊMarch 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,['sodium'],Y,na,B,invoice    physician one ride message
['Ray: Correct freight information needed.'],"['computer software, delivery name and address, appear incorrect']","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,['sodium'],Y,na,B,ray correct freight information needed computer software delivery name and address appear incorrect
['Action postulate: Confirm your information to keep a PayPal Balance'],['paymal money sending issue'],"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,['atomic number 11'],Y,na,B,action postulate confirm your information to keep a paypal balance paymal money sending issue
['You take new Google Drive Department of commerce subject matter'],['divvy up document'],"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,['sodium'],Y,Google Drive,B,you take new google drive department of commerce subject matter divvy up document
['Your Earning For Marchland 2019.'],['payroll earning statement for lineal deposit usable'],"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B,your earning for marchland  payroll earning statement for lineal deposit usable
['1KH0 / 613FV1 / us'],['natural surgery'],"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,['Yours'],Y,na,B,kh  fv  us natural surgery
['Call in Deliverance note from Trusted Source'],['new spokesperson'],"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,['atomic number 11'],Y,na,B,call in deliverance note from trusted source new spokesperson
['View Secure PDF'],['have sent you your important document'],"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,['Regard'],Y,na,B,view secure pdf have sent you your important document
['Term of Service.'],['your papers has be completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['sodium'],na,na,B,term of service your papers has be completed
['Preliminary certificate of deposit and Early Close Docs Attached Closing Set for 03 / 08 / 2019'],['your text file has been complete'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['sodium'],na,na,B,preliminary certificate of deposit and early close docs attached closing set for      your text file has been complete
['Apprisal'],['ms verification qui vive'],"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,['Compliments!'],Y,na,B,apprisal ms verification qui vive
['Pressing Account Notice'],['your mailboc fail to sync'],"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,['sodium'],Y,na,B,pressing account notice your mailboc fail to sync
['YOUR DIPLOMATIC PACKAGE'],"['parcel alluviation, realiability']","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"['Thank you and 1 sincerely yours Remain,']",Y,na,B,your diplomatic package parcel alluviation realiability
['Paysheet Earning Statement for March 2019'],"['pull in statement, parroll site']","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,['atomic number 11'],na,na,B,paysheet earning statement for march  pull in statement parroll site
['Êsent you a document to brush up and sign on'],['text file'],"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,['sodium'],na,DocuSign,B,sent you a document to brush up and sign on text file
['Electronic mail Apprisal (Treat Urgent )'],['electronic mail account lately signed'],"ÊFebruary 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,['sodium'],na,na,B,electronic mail apprisal treat urgent  electronic mail account lately signed
['( Secure Message) Rhenium: Reminder: bill 81736265'],['secure email'],"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,['Atomic number 39'],Y,na,B, secure message rhenium reminder bill  secure email
['Ê (Secure Email) Atomic number 75: Loose Invoice MR87103'],['secure email'],"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,['Yttrium'],Y,na,B, secure email atomic number  loose invoice mr secure email
"['[ Reminder] Messages Delayed on kent. edu Email Story Today, xxvi February 2019. Air combat command Id: 22683aBHnH']",['md attached'],"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,['Yttrium'],Y,office 365,B, reminder messages delayed on kent edu email story today xxvi february  air combat command id abhnh md attached
['Êimportant (ra: Will you live one of the xv for KSU student - athletes? )'],['subject matter attached'],"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,['Yttrium'],Y,na,B,important ra will you live one of the xv for ksu student  athletes  subject matter attached
"['Ê [IMPORTANCE] Watchword Verification on kent. edu Email Account Today, xxii Feb 2019. Air combat command Id: 42775V65yf']","['one prison term check,']","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,['Atomic number 39'],Y,microsoft,B, importance watchword verification on kent edu email account today xxii feb  air combat command id vyf one prison term check
['New Message from a Company'],['representative message for you'],"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,['Yttrium'],Y,na,B,new message from a company representative message for you
['Transaction for bill 36726579'],['thanks for act with us'],"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,['Yttrium'],Y,na, B,transaction for bill  thanks for act with us
['Purchase Guild # 0361'],['this be purchase order'],"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,['Thank you'],Y,na,B,purchase guild   this be purchase order
"['Ian shared "" eVoice Substance "" with you.']",['medico attached'],"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,['atomic number 11'],Y,Microsoft,B,ian shared  evoice substance  with you medico attached
['newfangled file'],['filing cabinet'],"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,['atomic number 11'],Y,Microsoft,B,newfangled file filing cabinet
['Account Due'],['file for invoice'],"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,['atomic number 11'],Y,Microsoft,B,account due file for invoice
['Your incoming email delivery report'],['indian file'],"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,['sodium'],Y,na,B,your incoming email delivery report indian file
['Defrayal from'],['this be your information today'],"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"['Just Regards,']",na,na,B,defrayal from this be your information today
['Sale Declaration PO: # 224906999'],['2 new substance'],"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,['thanks'],Y,na,B,sale declaration po    new substance
['new broadside from Ian'],['your bill comprise here'],"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,['thank you'],Y,na,B,new broadside from ian your bill comprise here
['Re: Defrayment Bill'],['delight check your'],"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,['Thank you'],Y,na,B,re defrayment bill delight check your
['KSU Infraction'],"['email own be reposted, regulation']","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,['Unfeignedly'],Y,na,B,ksu infraction email own be reposted regulation
['We recieved your petition'],['request to deactivate'],"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,['sodium'],Y,offcie 365,B,we recieved your petition request to deactivate
['URGENT REQUEST'],['Are you usable? No calls text only 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['BEST regard'], cchristberkeley.edu@gmail.com,na,NB,urgent request are you usable no calls text only xxx
['Quick dubiousness'],"[""Single ' m in a meeting and want aid getting some Amazon Gift Card""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,NB,quick dubiousness single  m in a meeting and want aid getting some amazon gift card
['* * * * * * Percentage metre dwelling house study help necessitate * * * * * *'],['Hello RECIPIENT I equal urgently seek for a Clerical / Administrative Assistant to work for me on campus at their ain free time while I am away on my work and earn canonical wage $ 250 weekly. This is a flexible job that requires little to no prior experience. Let me know you are interested and I will fill you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Truly'],dvdmson @ gmail . Com,na,NB,      percentage metre dwelling house study help necessitate       hello recipient i equal urgently seek for a clerical  administrative assistant to work for me on campus at their ain free time while i am away on my work and earn canonical wage   weekly this is a flexible job that requires little to no prior experience let me know you are interested and i will fill you in
['Ê vendor payment'],['Are you around? One need to pay a vendor with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB, vendor payment are you around one need to pay a vendor with the blucard
['Quick interrogation'],"[""One ' thou in a meeting and pauperism help acquire some Amazon Gift Cards""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,Unknown,quick interrogation one  thou in a meeting and pauperism help acquire some amazon gift cards
['ÊXXX has shared a document on Google Docs with you'],['XXX has invited you to view the next document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,Unknown,['atomic number 11'],ÊXXX@berkeley.edu,na,BCC,xxx has shared a document on google docs with you xxx has invited you to view the next document
